id	title	duration_seconds
Ev_y4esYa7U	Are Highway "Yard Sales" Really Worth Going To?	743.0
EzWuuHAHMEM	I love selling VINTAGE ON EBAY	1100.0
F1JlITz5TkI	Trying an EBAY Strategy we found in our YouTube comments	2368.0
F3Cwwz-wSQw	Do you believe EBAY is "THROTTLING" your sales?	1487.0
F45prx3TiQ8	Yard sale season is BACK! (for us)	3031.0
F6Aj2vjGp-o	When the Garage Sale leaves you NO CHOICE	1868.0
F96AWPBhur0	This Facebook Marketplace Listing TRICKED HER	2058.0
FCR7HL6Gcb0	We DON'T Test Everything We Sell on EBAY - Do you?	1604.0
FD95vQ76QgM	WILL THE NEW USPS RATES AFFECT YOUR EBAY STORE?	1344.0
FG0GUa0QXr8	I love to sell on EBAY	667.0
FJYClo6dpxs	Top rated seller and Top Rated Plus on EBAY - worth it?	1357.0
FM3NRDrcLag	Is EBAY 's new International Shipping too good to be true?	1352.0
FOhTozRZkKk	Vintage EBAY item RABBIT HOLES	1398.0
FS8O1uBRYK8	What's the first thing you ever sold on EBAY?	702.0
FUNefBHvI7Q	30 THINGS THAT SELL ON EBAY	1029.0
F_PXIehdZIs	TURNED $5 INTO $100+ ON EBAY	1199.0
F_sVyoKsZb8	Trying to make them STAY in our EBAY store LONGER	1206.0
Fh677Th8-Rk	EBAY Sales were ON FIRE Yesterday! 17 Things We Sold Online for PROFIT	1368.0
FmVWc8H274Y	EBAY BOLO - IYKYK - (IYDK - Click Here)	1893.0
FnqCL-wvHeI	Almost Christmas - What's selling on EBAY?	1066.0
Fs2YlpzUsME	I think there may be some confusion about EBAY Managed Payments	1513.0
FyLw0n-3KYo	The modern day EBAY version of "the dog ate my homework"	1297.0
Fz-iowr7UPM	End & Sell Similar on EBAY - Will this actually work???	1948.0
G2aJHm2UIFo	The 10 Most Common Questions Asked By NEW EBAY SELLERS	2850.0
GALAXK9VNEk	Trying EBAY Coupon Codes to increase sales	1737.0
GGHDFxnLn7w	BAD BUYS and Things We Refuse to Sell on EBAY anymore	4202.0
GN35NZKPetU	ODDLY SATISFYING EBAY VIDEO	637.0
GRmUXs_9jXE	EBAY - do your ReSUrch	1416.0
GSS6L_joirM	We Bought 51 of THESE to SELL ON EBAY	3021.0
GaBKFM-V1PE	NEVER pass these up at GARAGE SALES	2898.0
GeuJAq2Zvhc	This Makes Selling Shoes on EBAY Way Easier	1248.0
GksA1klmCkQ	Sony SLV-D100 DVD Player/VCR eBay Demo #5	223.0
GmfA6CPXa1o	STAGNANT EBAY Listings - Can They be Saved?	1744.0
GqB_GL_ToIc	Zenith X323 - Vintage AM/FM tube radio circa 1959	366.0
GrWGzeJtZx0	THIS is what we Buy at Garage Sales to make PROFIT ON EBAY	2094.0
GsXw8HIXWhw	They buy it as fast as I list it on EBAY	1441.0
GuPaz9HC35s	I'm SELLING this SUCKER on EBAY	1255.0
Gvydjytm0tU	Will we ever run out of EBAY inventory?	514.0
GwtNj2sfgfY	Selling like this on EBAY might be a big MISTAKE	2482.0
GxS8kCOKQMs	We NEVER PASS THESE UP at Yard Sales	1735.0
H-1cs2kFSTI	Wheelin' and Dealin' at GARAGE SALES	800.0
H02enIquGTE	I can barely keep up with EBAY	1408.0
H0LQReSWDeY	PULLING PACKING LISTING on EBAY	1222.0
H2aoet4QlPI	How to Pack and Ship EBAY orders #7 - LEGO! I'm Gonna Pack It!	5365.0
H6kcQYqNf-Y	Hippie Heaven: My 60s Blacklight Poster Estate Sale Jackpot!	2054.0
H8Brf_7kMOM	This is how we get MAXIMUM profits on EBAY	3189.0
HBshT9MPK_Q	Found out about this EBAY change in our Youtube comments	2510.0
HFgRONP7u6g	We make our living on EBAY	1245.0
HKk9DSZUR5Q	20 Listings a Day on EBAY	1870.0
HMusv52GO4w	Some EBAY questions should NOT be answered	947.0
HQmRmbjWbLQ	32 Things You Can Sell On EBAY FOR PROFIT	2411.0
HSCWM_VsGZw	We Almost Left This ESTATE SALE Treasure Behind!	776.0
HYcvPySrol8	DON'T TRY THIS ON EBAY (even though I did)	1357.0
HcgyEjTQLcs	A strong case for EBAY stores	1252.0
HeEjaSwpXKc	How to Pack and Ship EBAY Orders #4 - I have to pack a SEWING MACHINE	6244.0
HeGWEPdeItk	Why I don't like best offers on EBAY	1791.0
HeQoPLUej2I	This estate sale find makes me very uncomfortable	2098.0
HjjrhXQsW-A	This EBAY sale may get interesting - $56 sale, Zero feedback buyer	1455.0
Hqvg5KooVDk	This Is The Kind of Sale That Gets People HOOKED ON EBAY	2255.0
